case_id,claim_kind,claim_text,verdict,reason
case_14,commitment,我们会将您的反馈转达给产品团队,excluded,承诺类语句不参与事实性判定，由解决力/推进完备性指标覆盖
case_14,capability_claim,目前部分商品已支持视频展示，您可以在商品详情页查看是否有视频标识,unverifiable,对系统能力的断言，KB 无法验证（存在'空口承诺'风险）
case_14,commitment,如果您有特定商品需要看实物，可以联系客服，我们会尽力协助,excluded,承诺类语句不参与事实性判定，由解决力/推进完备性指标覆盖
case_15,other,非常抱歉连续给您带来不好的体验,excluded,非事实性语句（问候/建议/引导）
case_15,other,我们高度重视商品质量问题,excluded,非事实性语句（问候/建议/引导）
case_15,policy_statement,请您先申请退货退款，退货运费由我们承担,supported,政策描述未含具体数值，与 KB 无冲突
case_15,commitment,同时我们会将您的情况反馈给品控部门，加强对该类商品的质量检查,excluded,承诺类语句不参与事实性判定，由解决力/推进完备性指标覆盖
case_15,other,如有需要，可以申请额外的补偿优惠券,excluded,非事实性语句（问候/建议/引导）
case_16,other,您好，不同手机各有优势，适合的需求也不同,excluded,非事实性语句（问候/建议/引导）
case_16,other,如果您能告诉我具体的使用场景和预算，我可以帮您推荐更合适的选择,excluded,非事实性语句（问候/建议/引导）
case_16,other,您也可以查看商品详情页的用户评价和参数对比来做决策,excluded,非事实性语句（问候/建议/引导）
case_17,policy_statement,您好，关于您的两个问题：1.退货进度请在订单详情页查看 2.快递进度可以在物流追踪页面查看,supported,政策描述未含具体数值，与 KB 无冲突
case_17,other,如果您能提供具体的订单号，我可以帮您查询更详细的信息,excluded,非事实性语句（问候/建议/引导）
case_18,other,抱歉给您带来不便,excluded,非事实性语句（问候/建议/引导）
case_18,other,扫地机器人使用两周就出现故障，属于质量问题,excluded,非事实性语句（问候/建议/引导）
case_18,policy_amount,您的订单在30天质保期内，可以选择退货退款或者换新,supported,与 KB 中记录的质保天数取值一致（注：该政策的取值在 KB 内存在不一致，见 README 局限 3）
case_18,policy_statement,请按照退货地址寄回商品，退货运费由我们承担,supported,政策描述未含具体数值，与 KB 无冲突
case_18,other,如有其他问题请联系客服,excluded,非事实性语句（问候/建议/引导）
case_19,policy_statement,您好，商品补货时间不固定，建议您关注商品页面或联系客服询问预计到货时间,supported,政策描述未含具体数值，与 KB 无冲突
case_19,capability_claim,您也可以将商品加入购物车，补货时系统会自动提醒您,unverifiable,对系统能力的断言，KB 无法验证（存在'空口承诺'风险）
case_19,policy_statement,如果长时间未补货，可以考虑查看类似的替代商品,supported,政策描述未含具体数值，与 KB 无冲突
case_20,other,抱歉给您带来困扰,excluded,非事实性语句（问候/建议/引导）
case_20,policy_statement,退货流程一般包括：1.在订单页面点击退货 2.选择退货原因 3.提交申请等待审核 4.按照退货地址寄回商品,supported,政策描述未含具体数值，与 KB 无冲突
case_20,commitment,如果您在某个环节遇到问题，可以截图发给客服，我们会协助您操作,excluded,承诺类语句不参与事实性判定，由解决力/推进完备性指标覆盖
